587 -835673965
double     1 2
half       20930450 5232614
sqrt       10465225 2615498
half       3235 810
square     1617 653269
half       2614689 653674
half       1307344 326837
half       653672 163419
half       326836 81710
half       163418 40856
half       81709 20429
half       40854 10215
square     20427 104310476
half       417262329 104315584
half       208631164 52157792
half       104315582 26078897
half       52157791 13039449
half       26078895 6519725
half       13039447 3259863
half       6519723 1629932
half       3259861 814967
half       1629930 407484
half       814965 203743
half       407482 101872
half       203741 50937
half       101870 25469
half       50935 12735
square     25467 162135656
half       648568089 162142024
half       324284044 81071012
half       162142022 40535507
half       81071011 20267754
half       40535505 10133878
half       20267752 5066939
half       10133876 2533470
half       5066938 1266736
half       2533469 633369
half       1266734 316685
half       633367 158343
half       316683 79172
half       158341 39587
half       79170 19794
half       39585 9898
square     19792 97925869
half       391723264 97930817
half       195861632 48965409
sqrt       97930816 24480231
half       9896 2475
square     4948 6119440
half       24482704 6120677
half       12241352 3060339
sqrt       6120676 1529551
half       2474 620
square     1237 382234
half       1530169 382544
half       765084 191272
half       382542 95637
half       191271 47819
half       95635 23910
half       47817 11956
square     23908 142892140
half       571592464 142898117
half       285796232 71449059
sqrt       142898116 35721541
half       11954 2990
square     5977 8929639
half       35724529 8931134
half       17862264 4465567
half       8931132 2232784
half       4465566 1116393
half       2232783 558197
half       1116391 279099
half       558195 139550
half       279097 69776
half       139548 34888
half       69774 17445
half       34887 8723
square     17443 76060202
half       304258249 76064564
half       152129124 38032282
half       76064562 19016142
half       38032281 9508072
half       19016140 4754036
half       9508070 2377019
half       4754035 1188510
half       2377017 594256
half       1188508 297128
half       594254 148565
half       297127 74283
half       148563 37142
half       74281 18572
half       37140 9286
square     18570 86206583
half       344844900 86211226
half       172422450 43105614
sqrt       86211225 21550486
half       9285 2323
square     4642 5385881
half       21548164 5387042
half       10774082 2693522
sqrt       5387041 1346181
half       2321 582
square     1160 336111
half       1345600 336401
half       672800 168201
sqrt       336400 83956
half       580 146
square     290 20953
half       84100 21026
half       42050 10514
sqrt       21025 5221
half       145 38
square     72 1279
square     5184 6717169
half       26873856 6718465
half       13436928 3359233
sqrt       6718464 1678969
half       2592 649
sqrt       1296 316
sqrt       36 8
half       6 3
